group_rank,group_id,group_name,market_lane,lifecycle_stage,market_fit_grade,theme_id,theme_evidence_grade,relative_strength_pct,relative_strength_grade,breadth_grade,turnover_concentration_grade,core_role_hit_grade,contra_evidence_penalty,market_board_amount_raw,market_board_count_raw,clx_stock_count,shortlist_count,core_hit_count,clx_group_amount_yi,clx_group_avg_return_pct,representative_symbols,fit_reason,contra_evidence,sort_key,evidence_ids
109,国防军工,国防军工,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,3,0,0,8.232247000000001,3.7323136111825215,002771 真视通;300722 新余国科;603516 淳中科技,已有业务行业但未映射冻结主题 | CLX组内3只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|3|5|4|2|国防军工,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
110,娱乐用品,娱乐用品,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,1,0,0,1.035027,4.960727573377421,300756 金马游乐,已有业务行业但未映射冻结主题 | CLX组内1只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|3|5|4|2|娱乐用品,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
111,安防设备,安防设备,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,1,0,0,2.732041,4.5562599049128405,301042 安联锐视,已有业务行业但未映射冻结主题 | CLX组内1只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|3|5|4|2|安防设备,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
112,家具,家具,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,1,0,0,0.496758,5.901639344262288,301336 趣睡科技,已有业务行业但未映射冻结主题 | CLX组内1只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|3|5|4|2|家具,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
113,家电行业,家电行业,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,2,0,0,7.839226,5.947814372318916,002403 爱仕达;600839 四川长虹,已有业务行业但未映射冻结主题 | CLX组内2只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|3|5|4|2|家电行业,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
114,家电零部件,家电零部件,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,1,0,0,0.288917,2.7375201288244666,603677 奇精机械,已有业务行业但未映射冻结主题 | CLX组内1只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|3|5|4|2|家电零部件,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
115,底盘与发动机系统,底盘与发动机系统,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,2,0,0,2.639753,6.3620714102909925,603040 新坐标;603286 日盈电子,已有业务行业但未映射冻结主题 | CLX组内2只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|3|5|4|2|底盘与发动机系统,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
116,建筑建材,建筑建材,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,4,0,0,6.322738999999999,1.141089324323358,002628 成都路桥;002663 普邦股份;601186 中国铁建;603969 银龙股份,已有业务行业但未映射冻结主题 | CLX组内4只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|3|5|4|2|建筑建材,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
117,开发区,开发区,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,1,0,0,4.467682,5.738177623990781,000628 高新发展,已有业务行业但未映射冻结主题 | CLX组内1只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|3|5|4|2|开发区,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
118,快递,快递,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,1,0,0,0.355276,1.2643678160919605,603066 音飞储存,已有业务行业但未映射冻结主题 | CLX组内1只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|3|5|4|2|快递,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
119,房地产,房地产,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,3,0,0,4.6757919999999995,0.7536792111260237,000631 顺发恒能;600208 衢州发展;600621 XD华鑫股,已有业务行业但未映射冻结主题 | CLX组内3只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|3|5|4|2|房地产,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
120,摩托车,摩托车,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,1,0,0,0.358666,2.8307022318998287,603776 永安行,已有业务行业但未映射冻结主题 | CLX组内1只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|3|5|4|2|摩托车,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
121,无机盐,无机盐,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,1,0,0,0.363088,2.026693030153237,003017 大洋生物,已有业务行业但未映射冻结主题 | CLX组内1只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|3|5|4|2|无机盐,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
122,机床工具,机床工具,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,1,0,0,2.02597,4.174311926605512,300809 华辰装备,已有业务行业但未映射冻结主题 | CLX组内1只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|3|5|4|2|机床工具,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
123,模拟芯片设计,模拟芯片设计,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,1,0,0,2.827049,5.207280080889776,688209 英集芯,已有业务行业但未映射冻结主题 | CLX组内1只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|3|5|4|2|模拟芯片设计,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
124,水泥行业,水泥行业,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,1,0,0,1.139648,10.019267822736031,002346 柘中股份,已有业务行业但未映射冻结主题 | CLX组内1只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|3|5|4|2|水泥行业,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
125,汽车电子电气系统,汽车电子电气系统,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,1,0,0,7.319757000000001,7.49094959621277,603179 新泉股份,已有业务行业但未映射冻结主题 | CLX组内1只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|3|5|4|2|汽车电子电气系统,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
126,洗护用品,洗护用品,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,1,0,0,0.812694,5.847568988173446,002919 名臣健康,已有业务行业但未映射冻结主题 | CLX组内1只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|3|5|4|2|洗护用品,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
127,涂料油漆油墨制造,涂料油漆油墨制造,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,1,0,0,0.638368,2.8785982478097605,300665 飞鹿股份,已有业务行业但未映射冻结主题 | CLX组内1只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|3|5|4|2|涂料油漆油墨制造,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
128,物资外贸,物资外贸,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,1,0,0,0.511159,2.9601029601029616,600826 兰生股份,已有业务行业但未映射冻结主题 | CLX组内1只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|3|5|4|2|物资外贸,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
129,环保行业,环保行业,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,1,0,0,1.141214,1.9522776572667988,300332 天壕能源,已有业务行业但未映射冻结主题 | CLX组内1只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|3|5|4|2|环保行业,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
130,电力行业,电力行业,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,3,0,0,8.809282,1.2692035633212233,000037 深南电A;000993 闽东电力;600021 上海电力,已有业务行业但未映射冻结主题 | CLX组内3只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|3|5|4|2|电力行业,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
131,电机,电机,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,2,0,0,5.629615,7.514233390320145,301023 奕帆传动;603728 鸣志电器,已有业务行业但未映射冻结主题 | CLX组内2只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|3|5|4|2|电机,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
132,畜禽饲料,畜禽饲料,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,1,0,0,0.5767479999999999,1.4440433212996373,603363 傲农生物,已有业务行业但未映射冻结主题 | CLX组内1只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|3|5|4|2|畜禽饲料,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
133,疫苗,疫苗,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,1,0,0,0.979359,2.504432624113484,300841 康华生物,已有业务行业但未映射冻结主题 | CLX组内1只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|3|5|4|2|疫苗,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
134,白银,白银,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,1,0,0,7.524253999999999,3.7422037422037535,601212 白银有色,已有业务行业但未映射冻结主题 | CLX组内1只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|3|5|4|2|白银,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
135,石油行业,石油行业,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,4,0,0,3.112651,1.2810154878935776,000096 广聚能源;002554 惠博普;002629 仁智股份;600688 上海石化,已有业务行业但未映射冻结主题 | CLX组内4只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|3|5|4|2|石油行业,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
136,碳中和,碳中和,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,3,0,0,9.292353,8.786979236190007,603316 诚邦股份;603637 镇海股份;603778 国晟科技,已有业务行业但未映射冻结主题 | CLX组内3只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|3|5|4|2|碳中和,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
137,科创50,科创50,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,4,0,0,8.28415,3.5122632087788515,688029 南微医学;688088 虹软科技;688098 申联生物;688138 清溢光电,已有业务行业但未映射冻结主题 | CLX组内4只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|3|5|4|2|科创50,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
138,精密机加工件,精密机加工件,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,1,0,0,1.709069,8.135245901639365,301261 恒工精密,已有业务行业但未映射冻结主题 | CLX组内1只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|3|5|4|2|精密机加工件,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
139,纺织化学制品,纺织化学制品,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,1,0,0,1.390344,-1.4639639639639768,301190 善水科技,已有业务行业但未映射冻结主题 | CLX组内1只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|3|5|4|2|纺织化学制品,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
140,综合包装,综合包装,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,1,0,0,0.941376,7.897664071190191,300501 海顺新材,已有业务行业但未映射冻结主题 | CLX组内1只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|3|5|4|2|综合包装,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
141,综合环境治理,综合环境治理,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,1,0,0,2.124403,4.831833254381812,301259 艾布鲁,已有业务行业但未映射冻结主题 | CLX组内1只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|3|5|4|2|综合环境治理,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
142,综合行业,综合行业,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,1,0,0,0.63992,3.669724770642202,600576 祥源文旅,已有业务行业但未映射冻结主题 | CLX组内1只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|3|5|4|2|综合行业,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
143,胶印版材,胶印版材,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,1,0,0,0.366422,-1.0917913465426587,001279 强邦新材,已有业务行业但未映射冻结主题 | CLX组内1只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|3|5|4|2|胶印版材,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
144,膜材料,膜材料,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,1,0,0,1.372501,5.3749999999999964,688386 泛亚微透,已有业务行业但未映射冻结主题 | CLX组内1只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|3|5|4|2|膜材料,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
145,自然景区,自然景区,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,1,0,0,0.972296,2.886928628708896,300859 西域旅游,已有业务行业但未映射冻结主题 | CLX组内1只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|3|5|4|2|自然景区,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
146,航空装备,航空装备,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,1,0,0,4.5533980000000005,2.1553884711779325,688297 中无人机,已有业务行业但未映射冻结主题 | CLX组内1只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|3|5|4|2|航空装备,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
147,航空运输,航空运输,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,1,0,0,2.155643,2.627511591962905,002928 华夏航空,已有业务行业但未映射冻结主题 | CLX组内1只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|3|5|4|2|航空运输,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
148,航运,航运,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,1,0,0,0.404741,0.8252063015753874,603209 兴通股份,已有业务行业但未映射冻结主题 | CLX组内1只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|3|5|4|2|航运,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
149,营销代理,营销代理,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,1,0,0,1.057953,9.98727735368956,605168 三人行,已有业务行业但未映射冻结主题 | CLX组内1只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|3|5|4|2|营销代理,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
150,跨境物流,跨境物流,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,1,0,0,0.440535,-0.9269988412514474,603836 海程邦达,已有业务行业但未映射冻结主题 | CLX组内1只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|3|5|4|2|跨境物流,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
151,车身附件及饰件,车身附件及饰件,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,1,0,0,0.551689,2.519167579408532,603085 天成自控,已有业务行业但未映射冻结主题 | CLX组内1只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|3|5|4|2|车身附件及饰件,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
152,通信终端及配件,通信终端及配件,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,1,0,0,8.4841,7.700312174817903,300638 广和通,已有业务行业但未映射冻结主题 | CLX组内1只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|3|5|4|2|通信终端及配件,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
153,酒店旅游,酒店旅游,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,1,0,0,1.03348,1.6176470588235237,600749 西藏旅游,已有业务行业但未映射冻结主题 | CLX组内1只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|3|5|4|2|酒店旅游,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
154,金属制品,金属制品,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,3,0,0,7.860247,6.794644822518362,300885 海昌新材;002896 中大力德;300488 恒锋工具,已有业务行业但未映射冻结主题 | CLX组内3只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|3|5|4|2|金属制品,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
155,金融改革,金融改革,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,1,0,0,3.377225,4.526748971193406,002575 群兴玩具,已有业务行业但未映射冻结主题 | CLX组内1只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|3|5|4|2|金融改革,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
156,钢铁行业,钢铁行业,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,3,0,0,3.154583,3.6743601872697873,002615 哈尔斯;300345 华民股份;600992 贵绳股份,已有业务行业但未映射冻结主题 | CLX组内3只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|3|5|4|2|钢铁行业,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
157,铝,铝,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,2,0,0,2.5637999999999996,7.195272732878232,301398 星源卓镁;605208 永茂泰,已有业务行业但未映射冻结主题 | CLX组内2只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|3|5|4|2|铝,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
158,锂矿,锂矿,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,1,0,0,2.020687,4.840805717998697,002785 万里石,已有业务行业但未映射冻结主题 | CLX组内1只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|3|5|4|2|锂矿,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
159,院线,院线,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,1,0,0,3.147438,4.728682170542631,300528 幸福蓝海,已有业务行业但未映射冻结主题 | CLX组内1只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|3|5|4|2|院线,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
160,雄安新区,雄安新区,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,1,0,0,0.5411060000000001,2.9227557411273475,603616 韩建河山,已有业务行业但未映射冻结主题 | CLX组内1只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|3|5|4|2|雄安新区,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
161,鞋帽及其他,鞋帽及其他,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,1,0,0,0.576014,5.357142857142838,603665 康隆达,已有业务行业但未映射冻结主题 | CLX组内1只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|3|5|4|2|鞋帽及其他,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
162,飞机制造,飞机制造,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,1,0,0,2.407839,1.7010935601458057,600316 洪都航空,已有业务行业但未映射冻结主题 | CLX组内1只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|3|5|4|2|飞机制造,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
163,高压快充,高压快充,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,1,0,0,0.4962810000000001,4.363001745200701,300880 迦南智能,已有业务行业但未映射冻结主题 | CLX组内1只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|3|5|4|2|高压快充,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
164,鸡肉,鸡肉,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,1,0,0,0.394152,1.3998250218722583,002982 湘佳股份,已有业务行业但未映射冻结主题 | CLX组内1只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|3|5|4|2|鸡肉,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
